market,state,biden_number,trump_number,other_number,biden_percent,trump_percent
Memphis,Total,379441,353957,12549,0.5086701870240111,0.47450690196488493
Meridian,AL,7775,5894,86,0.5652490003635042,0.42849872773536896
Meridian,MS,25020,40488,694,0.377934201383644,0.6115827316395275
Meridian,Total,32795,46382,780,0.4101579599034481,0.5800867966532011
Miami,FL,1258497,891935,16261,0.5808377098186037,0.411657304472761
Miami,Total,1258497,891935,16261,0.5808377098186037,0.411657304472761
Milwaukee,WI,653102,617754,21634,0.5053052634836633,0.47795650256481675
Milwaukee,Total,653102,617754,21634,0.5053052634836633,0.47795650256481675
Minneapolis,MN,1437472,1163302,62145,0.5398106363730928,0.4368521911481348
Minneapolis,WI,68883,103397,3504,0.3918616028762572,0.5882048423064671
Minneapolis,Total,1506355,1266699,65649,0.5306490323221555,0.44622456100550145
Minot,MT,3763,11046,337,0.24844843523042387,0.729301465733527
Minot,ND,42981,134062,5319,0.23569054956624735,0.7351421897105757
Minot,SD,622,647,14,0.4848012470771629,0.5042868277474669
Minot,Total,47366,145755,5670,0.23827034423087565,0.7332072377522121
Missoula,MT,82454,102011,4393,0.43659257219710046,0.5401465651441824
Missoula,Total,82454,102011,4393,0.43659257219710046,0.5401465651441824
Mobile,AL,124404,219133,4336,0.35761326691062545,0.6299224142143829
Mobile,FL,132789,253857,8151,0.33634754063480726,0.6430064058237525
Mobile,MS,2184,14507,170,0.1295296838858905,0.8603878773500978
Mobile,Total,259377,487497,12657,0.3414962654585527,0.6418395035883986
Monroe,AR,7709,16026,798,0.31422981290506663,0.6532425712305874
Monroe,LA,63063,120042,2465,0.3398340248962656,0.6468825780029099
Monroe,Total,70772,136068,3263,0.33684430969572066,0.6476252123958249
Monterey,CA,245827,83826,8749,0.7264348319454377,0.24771130194265992
Monterey,Total,245827,83826,8749,0.7264348319454377,0.24771130194265992
Montgomery,AL,143432,149788,3154,0.48395608251735983,0.5054019583364263
Montgomery,Total,143432,149788,3154,0.48395608251735983,0.5054019583364263
Myrtle Beach,NC,26206,35279,478,0.4229298129528912,0.5693559059438698
Myrtle Beach,SC,127151,185605,3166,0.4024759276023829,0.5875026114040808
Myrtle Beach,Total,153357,220884,3644,0.40582981594929673,0.5845270386493245
Nashville,KY,20477,58848,1294,0.25399719669060644,0.7299519964276411
Nashville,TN,494128,747740,27324,0.3893248618018393,0.5891464805955285
Nashville,Total,514605,806588,28618,0.3812422628056817,0.597556250467658
New Orleans,LA,354261,404071,13335,0.4590853308486692,0.5236338990782293
New Orleans,MS,8652,35727,611,0.19230940208935318,0.7941098021782619
New Orleans,Total,362913,439798,13946,0.4443885254151988,0.538534537755753
New York,CT,297505,169039,6446,0.6289879278631684,0.3573838770375695
New York,NJ,1924536,1413402,52859,0.5675762954845129,0.4168347441619183
New York,NY,3752335,1855046,69841,0.6609456174164055,0.32675241517770487
New York,PA,13052,19241,323,0.40017169487368165,0.5899251900907531
New York,Total,5987428,3456728,129469,0.6254086618182768,0.3610678295838828
Norfolk,NC,40882,55897,1323,0.4167295264112862,0.5697845099997961
Norfolk,VA,495557,369168,17875,0.5614740539315658,0.4182732834806254
Norfolk,Total,536439,425065,19198,0.5469949077293612,0.43342931899802384
North Platte,NE,3792,14130,420,0.20673863264638534,0.7703631010794897
North Platte,Total,3792,14130,420,0.20673863264638534,0.7703631010794897
Odessa,TX,35769,111976,2028,0.23882141641016738,0.7476380923130337
Odessa,Total,35769,111976,2028,0.23882141641016738,0.7476380923130337
Oklahoma City,OK,270853,474743,19061,0.3542150271298111,0.6208574563497098
Oklahoma City,Total,270853,474743,19061,0.3542150271298111,0.6208574563497098
Omaha,IA,34652,63610,1842,0.34615999360664906,0.6354391432909774
Omaha,MO,564,2199,51,0.20042643923240938,0.7814498933901919
Omaha,NE,219994,243511,12544,0.46212469724755223,0.511525074099515
Omaha,Total,255210,309320,14437,0.4408023255211437,0.5342618836652175
Orlando,FL,1119828,1185312,28613,0.47983998306590286,0.5078995077885278
Orlando,Total,1119828,1185312,28613,0.47983998306590286,0.5078995077885278
Ottumwa,IA,12028,19850,607,0.3702631983992612,0.6110512544251193
Ottumwa,MO,6584,18053,370,0.2632862798416443,0.7219178629983605
Ottumwa,Total,18612,37903,977,0.3237319974953037,0.6592743338203576
Paducah,IL,46074,103471,2604,0.3028215762180494,0.6800636218443762
Paducah,KY,31358,83977,1689,0.2679621274268526,0.7176049357396773
Paducah,MO,30288,115566,1783,0.20515182508449778,0.7827712565278352
Paducah,TN,6135,22678,477,0.2094571526118129,0.7742574257425743
Paducah,Total,113855,325692,6553,0.2552230441605021,0.7300874243443174
Panama City,FL,51997,151396,2617,0.25240036891413037,0.7348963642541624
Panama City,Total,51997,151396,2617,0.25240036891413037,0.7348963642541624
Parkersburg,OH,9243,22307,531,0.2881144602724354,0.6953336866057791
Parkersburg,WV,11625,29944,684,0.2751283932501834,0.7086834070953542
Parkersburg,Total,20868,52251,1215,0.2807329082250383,0.7029219468883687
Peoria,IL,135751,170989,7944,0.4313883133556202,0.5433673145123362
Peoria,Total,135751,170989,7944,0.4313883133556202,0.5433673145123362
Philadelphia,DE,239586,129373,5699,0.6394792050349919,0.3453095890118455
Philadelphia,NJ,683864,469908,19748,0.5827459267843752,0.40042606857999863
Philadelphia,PA,1794180,1031099,36662,0.6269101983583868,0.3602796144295078
Philadelphia,Total,2717630,1630380,62109,0.6162260020647969,0.369690704491194
Phoenix,AZ,1274789,1364201,50638,0.4739648010802981,0.5072080599993753
Phoenix,Total,1274789,1364201,50638,0.4739648010802981,0.5072080599993753
Pittsburgh,MD,3281,12002,328,0.21017231439369674,0.7688168599064762
Pittsburgh,PA,699109,788444,22050,0.46310785020962464,0.5222856605345909
Pittsburgh,WV,23445,31993,1206,0.4139008544594308,0.5648082762516772
Pittsburgh,Total,725835,832439,23584,0.45884965654312837,0.5262412934662909
"Portland, ME",ME,331200,235653,17071,0.5671971009925949,0.4035679300730917
"Portland, ME",NH,24289,24767,785,0.48732970847294393,0.4969202062558937
"Portland, ME",Total,355489,260420,17856,0.5609161124391533,0.41090940648347574
"Portland, OR",OR,958695,573132,50855,0.6057407615680219,0.3621270729053594
"Portland, OR",WA,174578,173590,11368,0.4855647278714788,0.4828167415780339
"Portland, OR",Total,1133273,746722,62223,0.5834942318524491,0.38446868477174034
Presque Isle,ME,13956,21080,710,0.3904213058803782,0.5897163318972752
Presque Isle,Total,13956,21080,710,0.3904213058803782,0.5897163318972752
Providence,MA,153377,119872,6030,0.5491891620923879,0.42921952599371954
